     0    0.0000    1.5708
     1    0.0076    1.5568
     2    0.0153    1.5428
     3    0.0229    1.5289
     4    0.0305    1.5149
     5    0.0381    1.5010
     6    0.0458    1.4870
     7    0.0534    1.4731
     8    0.0610    1.4591
     9    0.0687    1.4452
    10    0.0763    1.4313
    11    0.0839    1.4173
    12    0.0916    1.4034
    13    0.0992    1.3894
    14    0.1068    1.3755
    15    0.1145    1.3615
    16    0.1221    1.3476
    17    0.1297    1.3337
    18    0.1373    1.3199
    19    0.1450    1.3060
    20    0.1526    1.2922
    21    0.1602    1.2784
    22    0.1679    1.2647
    23    0.1755    1.2509
    24    0.1831    1.2371
    25    0.1908    1.2233
    26    0.1984    1.2095
    27    0.2060    1.1958
    28    0.2136    1.1821
    29    0.2213    1.1684
    30    0.2289    1.1547
    31    0.2365    1.1410
    32    0.2442    1.1273
    33    0.2518    1.1136
    34    0.2594    1.1000
    35    0.2670    1.0864
    36    0.2747    1.0728
    37    0.2823    1.0593
    38    0.2899    1.0458
    39    0.2976    1.0322
    40    0.3052    1.0188
    41    0.3128    1.0053
    42    0.3205    0.9919
    43    0.3281    0.9784
    44    0.3357    0.9651
    45    0.3433    0.9517
    46    0.3510    0.9383
    47    0.3586    0.9251
    48    0.3662    0.9119
    49    0.3739    0.8987
    50    0.3815    0.8855
    51    0.3891    0.8724
    52    0.3968    0.8593
    53    0.4044    0.8462
    54    0.4120    0.8332
    55    0.4196    0.8201
    56    0.4273    0.8072
    57    0.4349    0.7943
    58    0.4425    0.7815
    59    0.4502    0.7686
    60    0.4578    0.7558
    61    0.4654    0.7430
    62    0.4731    0.7303
    63    0.4807    0.7176
    64    0.4883    0.7051
    65    0.4959    0.6929
    66    0.5036    0.6814
    67    0.5112    0.6703
    68    0.5188    0.6596
    69    0.5265    0.6491
    70    0.5341    0.6388
    71    0.5417    0.6288
    72    0.5494    0.6191
    73    0.5570    0.6095
    74    0.5646    0.6001
    75    0.5723    0.5908
    76    0.5799    0.5817
    77    0.5875    0.5730
    78    0.5951    0.5653
    79    0.6028    0.5581
    80    0.6104    0.5513
    81    0.6180    0.5449
    82    0.6257    0.5391
    83    0.6333    0.5334
    84    0.6409    0.5280
    85    0.6485    0.5228
    86    0.6562    0.5179
    87    0.6638    0.5132
    88    0.6714    0.5090
    89    0.6791    0.5048
    90    0.6867    0.5010
    91    0.6943    0.4974
    92    0.7020    0.4940
    93    0.7096    0.4908
    94    0.7172    0.4881
    95    0.7248    0.4855
    96    0.7325    0.4837
    97    0.7401    0.4820
    98    0.7477    0.4804
    99    0.7554    0.4788
   100    0.7630    0.4774
   101    0.7706    0.4760
   102    0.7783    0.4747
   103    0.7859    0.4734
   104    0.7935    0.4722
   105    0.8011    0.4710
   106    0.8088    0.4698
   107    0.8164    0.4687
   108    0.8240    0.4676
   109    0.8317    0.4664
   110    0.8393    0.4654
   111    0.8469    0.4644
   112    0.8546    0.4634
   113    0.8622    0.4624
   114    0.8698    0.4614
   115    0.8774    0.4604
   116    0.8851    0.4594
   117    0.8927    0.4584
   118    0.9003    0.4574
   119    0.9080    0.4565
   120    0.9156    0.4555
   121    0.9232    0.4546
   122    0.9309    0.4536
   123    0.9385    0.4526
   124    0.9461    0.4517
   125    0.9538    0.4507
   126    0.9614    0.4496
   127    0.9690    0.4486
   128    0.9766    0.4475
   129    0.9843    0.4465
   130    0.9919    0.4453
   131    0.9995    0.4441
   132    1.0072    0.4429
   133    1.0148    0.4417
   134    1.0224    0.4405
   135    1.0301    0.4392
   136    1.0377    0.4378
   137    1.0453    0.4365
   138    1.0529    0.4350
   139    1.0606    0.4334
   140    1.0682    0.4318
   141    1.0758    0.4301
   142    1.0835    0.4284
   143    1.0911    0.4265
   144    1.0987    0.4247
   145    1.1063    0.4228
   146    1.1140    0.4207
   147    1.1216    0.4187
   148    1.1292    0.4165
   149    1.1369    0.4142
   150    1.1445    0.4118
   151    1.1521    0.4092
   152    1.1598    0.4066
   153    1.1674    0.4039
   154    1.1750    0.4010
   155    1.1826    0.3980
   156    1.1903    0.3948
   157    1.1979    0.3915
   158    1.2055    0.3879
   159    1.2132    0.3842
   160    1.2208    0.3803
   161    1.2284    0.3760
   162    1.2361    0.3713
   163    1.2437    0.3662
   164    1.2513    0.3609
   165    1.2589    0.3557
   166    1.2666    0.3504
   167    1.2742    0.3450
   168    1.2818    0.3395
   169    1.2895    0.3337
   170    1.2971    0.3280
   171    1.3047    0.3221
   172    1.3124    0.3160
   173    1.3200    0.3094
   174    1.3276    0.3025
   175    1.3353    0.2957
   176    1.3429    0.2889
   177    1.3505    0.2822
   178    1.3581    0.2756
   179    1.3658    0.2690
   180    1.3734    0.2624
   181    1.3810    0.2558
   182    1.3887    0.2493
   183    1.3963    0.2429
   184    1.4039    0.2365
   185    1.4115    0.2302
   186    1.4192    0.2239
   187    1.4268    0.2177
   188    1.4344    0.2115
   189    1.4421    0.2054
   190    1.4497    0.1993
   191    1.4573    0.1932
   192    1.4650    0.1873
   193    1.4726    0.1815
   194    1.4802    0.1756
   195    1.4878    0.1698
   196    1.4955    0.1642
   197    1.5031    0.1585
   198    1.5107    0.1529
   199    1.5184    0.1473
   200    1.5260    0.1419
   201    1.5336    0.1366
   202    1.5413    0.1312
   203    1.5489    0.1259
   204    1.5565    0.1207
   205    1.5641    0.1156
   206    1.5718    0.1106
   207    1.5794    0.1056
   208    1.5870    0.1006
   209    1.5947    0.0958
   210    1.6023    0.0910
   211    1.6099    0.0863
   212    1.6176    0.0817
   213    1.6252    0.0772
   214    1.6328    0.0728
